SLR [mm/yr],$a_M$,$M$,$p_M$
000,0.871 ± 0.014,0.081 ± 0.004,0.186 ± 0.009
005,0.886 ± 0.013,0.079 ± 0.003,0.175 ± 0.008
010,0.869 ± 0.014,0.071 ± 0.004,0.135 ± 0.011
015,0.867 ± 0.014,0.078 ± 0.004,0.122 ± 0.01
020,0.864 ± 0.015,0.082 ± 0.004,0.128 ± 0.009
030,0.859 ± 0.017,0.094 ± 0.005,0.142 ± 0.009
040,0.876 ± 0.015,0.102 ± 0.004,0.119 ± 0.007
